,Acc_x,Acc_y,Acc_z,Label
678,71,-42,-1,Painting
679,-2,-32,18,Painting
680,4,46,0,Painting
681,-12,29,-3,Painting
682,-10,-29,16,Painting
683,61,-39,-1,Painting
684,2,-32,10,Painting
685,3,63,-24,Painting
686,-9,30,-8,Painting
687,-3,-39,26,Painting
688,58,-31,-13,Painting
689,0,-33,11,Painting
690,-19,49,-15,Painting
691,-16,29,-2,Painting
692,-20,-18,3,Painting
693,59,-32,-8,Painting
694,-8,-24,0,Painting
695,-34,33,-10,Painting
696,-20,30,-7,Painting
697,-16,-28,9,Painting
698,55,-30,-10,Painting
699,-5,-30,18,Painting
700,-23,38,-12,Painting
701,-18,27,-4,Painting
702,-11,-29,23,Painting
703,55,-25,-6,Painting
704,6,-30,12,Painting
705,-23,42,-23,Painting
706,-18,30,-11,Painting
707,-23,-20,15,Painting
708,57,-27,-8,Painting
709,23,-27,3,Painting
710,-24,46,-21,Painting
711,-23,36,-3,Painting
712,-28,7,-3,Painting
713,48,-41,5,Painting
714,39,-23,-5,Painting
715,-39,39,0,Painting
716,-21,38,-6,Painting
717,-29,8,0,Painting
718,48,-43,2,Painting
719,46,-25,-2,Painting
720,-48,45,-5,Painting
721,-22,32,-6,Painting
722,-20,13,6,Painting
723,37,-44,6,Painting
724,57,-23,-13,Painting
725,-58,14,18,Painting
726,-23,36,3,Painting
727,-12,22,-13,Painting
728,28,-44,3,Painting
729,57,-24,-16,Painting
730,-60,23,20,Painting
731,-24,41,-6,Painting
732,-10,24,-10,Painting
733,24,-40,-2,Painting
734,44,-26,-2,Painting
735,-52,23,-21,Painting
736,-25,37,-9,Painting
737,-22,11,2,Painting
738,73,-60,19,Painting
739,32,-36,-6,Painting
740,-39,58,4,Painting
741,-21,35,-14,Painting
742,-23,-15,10,Painting
743,81,-45,-3,Painting
744,-22,-26,15,Painting
745,-6,40,-7,Painting
746,-23,34,0,Painting
747,14,-43,15,Painting
748,65,-34,-1,Painting
749,-55,3,-1,Painting
750,-30,33,-10,Painting
751,-7,25,-8,Painting
752,0,-33,10,Painting
753,55,-27,-2,Painting
754,-7,-19,23,Painting
755,-25,30,-12,Painting
756,-16,32,-7,Painting
757,-18,-32,30,Painting
758,57,-32,-13,Painting
759,-61,97,47,Painting
760,-12,47,-1,Painting
761,-19,29,-5,Painting
762,-17,-22,9,Painting
763,59,-34,-10,Painting
764,9,-21,7,Painting
765,-29,58,-30,Painting
766,-21,29,-4,Painting
767,-22,-18,11,Painting
768,47,-32,-13,Painting
769,35,-28,-1,Painting
770,-27,43,-2,Painting
771,-21,36,-6,Painting
772,-18,9,4,Painting
773,42,-43,6,Painting
774,48,-30,-9,Painting
775,-58,32,-3,Painting
776,-28,41,-9,Painting
777,-22,14,0,Painting
778,46,-44,0,Painting
779,43,-29,-8,Painting
780,-27,44,12,Painting
781,-23,36,-2,Painting
782,-28,4,-8,Painting
783,62,-46,0,Painting
784,16,-40,13,Painting
785,8,52,-19,Painting
786,-13,25,-3,Painting
787,18,-56,19,Painting
788,63,-24,-25,Painting
789,-71,43,9,Painting
790,-23,40,13,Painting
791,-13,8,-15,Painting
792,23,-27,-12,Painting
793,13,-6,-13,Painting
