,Flex_1,Flex_2,Flex_3,Flex_4,Flex_5,Yaw,Pitch,Roll,Gesture
2482,36.0,-68.0,-96.0,36.0,22.0,39.0,48.985397,26.157907,Two
2483,40.0,-70.0,-114.0,-136.0,26.0,39.0,49.296555,32.118561,Three
2484,40.0,-72.0,-116.0,-136.0,22.0,39.0,48.740466999999995,32.604279,Three
2485,46.0,-68.0,-112.0,-134.0,22.0,39.0,48.117622,33.126244,Three
2486,40.0,-68.0,-108.0,-130.0,22.0,39.0,47.54845,33.711838,Three
2487,40.0,-66.0,-108.0,-120.0,20.0,39.0,47.853527,33.572628,Three
2488,40.0,-66.0,-112.0,-120.0,22.0,39.0,47.37215,34.179344,Three
2489,40.0,-64.0,-104.0,-112.0,20.0,39.0,47.012572999999996,34.505619,Three
2490,40.0,-64.0,-104.0,-108.0,20.0,39.0,46.754597,34.482215999999994,Three
2491,40.0,-64.0,-106.0,-106.0,20.0,39.0,47.216488,33.975021000000005,Three
2492,40.0,-64.0,-104.0,-104.0,20.0,39.0,47.270313,35.035202000000005,Three
2493,56.0,-56.0,-92.0,-108.0,-70.0,40.0,51.855583,32.404423,Four
2494,54.0,-52.0,-90.0,-106.0,-70.0,39.0,51.397942,32.915046999999994,Four
2495,56.0,-50.0,-88.0,-104.0,-70.0,39.0,51.170947999999996,33.30397,Four
2496,56.0,-52.0,-90.0,-104.0,-70.0,39.0,50.98185,33.476864,Four
2497,56.0,-52.0,-88.0,-104.0,-70.0,39.0,50.759094,33.638115,Four
2498,56.0,-52.0,-92.0,-104.0,-70.0,39.0,50.654896,33.664967,Four
2499,52.0,-52.0,-88.0,-104.0,-66.0,39.0,50.68483,33.608658,Four
2500,46.0,-56.0,-90.0,-104.0,-70.0,39.0,50.703545,33.565899,Four
2501,54.0,-50.0,-90.0,-104.0,-66.0,40.0,50.650639,33.455673,Four
2502,48.0,-56.0,-92.0,-104.0,-66.0,40.0,50.201859000000006,33.801079,Four
2503,-26.0,-56.0,-80.0,-88.0,-46.0,37.0,53.588375,29.272771999999996,Five
2504,-24.0,-52.0,-80.0,-88.0,-50.0,37.0,53.422534999999996,29.447227,Five
2505,-24.0,-52.0,-80.0,-88.0,-46.0,37.0,52.756206999999996,29.806973,Five
